x
1,0
2,0
3,1
4,0
5,0
6,2
7,1
8,0
9,0
10,1
11,2
12,3
13,1
14,2
15,4
16,1
17,1
18,3
19,1
20,1
21,3
22,1
23,0
24,1
25,5
26,0
27,0
28,5
29,6
30,1
31,0
32,0
33,1
34,7
35,6
36,0
37,1
38,0
39,5
40,1
41,5
42,2
43,0
44,5
45,5
46,5
47,1
48,5
49,1
50,3
51,8
52,5
53,0
54,5
55,0
56,0
57,0
58,1
59,2
60,0
61,7
62,7
63,6
64,7
65,7
66,3
67,1
68,0
69,8
70,0
71,3
72,7
73,0
74,0
75,0
76,0
77,5
78,0
79,0
80,7
81,1
82,7
83,3
84,0
85,0
86,6
87,1
88,1
89,1
90,0
91,1
92,3
93,0
94,0
95,1
96,0
97,1
98,3
99,7
100,1
101,3
102,5
103,7
104,3
105,1
106,1
107,0
108,4
109,1
110,7
111,7
112,7
113,5
114,7
115,1
116,0
117,5
118,0
119,2
120,1
121,4
122,7
123,1
124,8
125,0
126,6
127,0
128,2
129,0
130,5
131,6
132,4
133,1
134,0
135,5
136,0
137,5
138,6
139,7
140,5
141,5
142,0
143,5
144,0
145,2
146,1
147,3
148,1
149,7
150,6
151,1
152,0
153,0
154,3
155,1
156,0
157,0
158,0
159,1
160,7
161,0
162,0
163,3
164,4
165,1
166,1
167,2
168,5
169,0
170,1
171,1
172,0
173,1
174,3
175,0
176,1
177,3
178,0
179,0
180,0
181,1
182,1
183,1
184,1
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,3
193,1
194,1
195,5
196,1
197,1
198,5
199,1
200,1
201,1
202,3
203,0
204,1
205,3
206,1
207,3
208,4
209,0
210,0
211,1
212,3
213,0
214,1
215,3
216,1
217,1
218,1
219,6
220,1
221,0
222,6
223,1
224,8
225,1
226,8
227,6
228,3
229,0
230,6
231,1
232,3
233,5
234,0
235,5
236,0
237,5
238,0
239,3
240,1
241,1
242,0
243,1
244,0
245,3
246,1
247,2
248,0
249,1
250,4
251,0
252,3
253,0
254,1
255,1
256,1
257,1
258,6
259,1
260,6
261,1
262,0
263,3
264,7
265,7
266,7
267,6
268,0
269,7
270,8
271,1
272,0
273,1
274,1
275,2
276,1
277,0
278,1
279,0
280,1
281,7
