x
A1.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A1.MAA001862.3_39_F.1.1,TM_baron_mouse_for_segerstolpe
A10.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A10.MAA001857.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A11.MAA000577.3_8_M.1.1,TM_baron_mouse_for_segerstolpe
A11.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A11.MAA001861.3_39_F.1.1,TM_baron_mouse_for_segerstolpe
A11.MAA001862.3_39_F.1.1,TM_baron_mouse_for_segerstolpe
A12.MAA000577.3_8_M.1.1,TM_baron_mouse_for_segerstolpe
A12.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A12.MAA001862.3_39_F.1.1,TM_baron_mouse_for_segerstolpe
A12.MAA001868.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A13.MAA000577.3_8_M.1.1,TM_baron_mouse_for_segerstolpe
A13.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A13.MAA001857.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A14.MAA000577.3_8_M.1.1,TM_baron_mouse_for_segerstolpe
A14.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A14.MAA000910.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A14.MAA001857.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A14.MAA001862.3_39_F.1.1,TM_baron_mouse_for_segerstolpe
A14.MAA001868.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A15.MAA000577.3_8_M.1.1,TM_baron_mouse_for_segerstolpe
A15.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A15.MAA001857.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A15.MAA001862.3_39_F.1.1,TM_baron_mouse_for_segerstolpe
A16.MAA000577.3_8_M.1.1,TM_baron_mouse_for_segerstolpe
A16.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A16.MAA000910.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A16.MAA001857.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A17.MAA001857.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A18.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A18.MAA001857.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A19.MAA000577.3_8_M.1.1,TM_baron_mouse_for_segerstolpe
A19.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A2.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A2.MAA001857.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A20.MAA000577.3_8_M.1.1,TM_baron_mouse_for_segerstolpe
A20.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A20.MAA000910.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A20.MAA001857.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A20.MAA001868.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
A21.MAA000577.3_8_M.1.1,TM_baron_mouse_for_segerstolpe
A21.MAA000884.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A21.MAA000910.3_10_M.1.1,TM_baron_mouse_for_segerstolpe
A21.MAA001861.3_39_F.1.1,TM_baron_mouse_for_segerstolpe
A21.MAA001868.3_38_F.1.1,TM_baron_mouse_for_segerstolpe
